ds,y
2004-01-13,817.0864197530864
2004-01-14,847.8316831683169
2004-01-15,838.3846153846154
2004-01-16,813.1354838709677
2004-01-17,801.0
2004-01-18,787.6774193548387
2004-01-19,835.2083333333334
2004-01-20,838.2727272727273
2004-01-21,838.71875
2004-01-22,807.5257731958762
2004-01-23,795.0958083832336
2004-01-24,760.0118343195267
2004-01-25,772.52
2004-01-26,804.6
2004-01-27,813.2570621468926
2004-01-28,767.258152173913
2004-01-29,785.6684210526316
2004-01-30,793.727027027027
2004-01-31,766.3128834355829
2004-02-01,754.6
2004-02-02,807.1636363636363
2004-02-03,797.1158536585366
2004-02-04,818.4615384615385
2004-02-05,815.9416058394161
2004-02-06,820.9454545454546
2004-02-07,822.439024390244
2004-02-08,812.8571428571429
2004-02-09,815.479674796748
2004-02-10,828.4262295081967
2004-02-11,856.2388059701492
2004-02-12,818.5170068027211
2004-02-13,840.0992366412214
2004-02-14,787.7558139534884
2004-02-15,816.4074074074074
2004-02-16,827.4651162790698
2004-02-17,833.8666666666667
2004-02-18,835.1052631578947
2004-02-19,821.3211009174312
2004-02-20,821.7727272727273
2004-02-21,810.3781512605042
2004-02-22,778.7931034482758
2004-02-23,773.8188976377953
2004-02-24,750.990990990991
2004-02-25,742.7518248175182
2004-02-26,714.8201438848921
2004-02-27,751.9426229508197
2004-02-28,735.3589743589744
2004-02-29,678.695652173913
2004-03-01,699.6822916666666
2004-03-02,706.1805555555555
2004-03-03,663.4416666666667
2004-03-04,655.7622950819672
2004-03-05,735.8469387755102
2004-03-06,585.5512820512821
2004-03-07,605.375
2004-03-08,604.2857142857143
2004-03-09,664.6363636363636
2004-03-10,648.1937984496124
2004-03-11,633.0542635658915
2004-03-12,640.4044117647059
2004-03-13,620.4888888888889
2004-03-14,621.125
2004-03-15,635.5143884892086
2004-03-16,644.7753623188406
2004-03-17,625.7445255474453
2004-03-18,585.9642857142857
